Country	type	value	lat	long
France - French Guiana	death	1	3.9339	-53.1258
Gambia	death	1	13.4432	-15.3101
Guinea-Bissau	death	1	11.8037	-15.1804
Liechtenstein	death	1	47.14	9.55
Maldives	death	1	3.2028	73.2207
Mauritania	death	1	21.0079	10.9408
Netherlands - Curacao	death	1	12.1696	-68.99
Sao Tome and Principe	death	1	0.18636	6.613081
Suriname	death	1	3.9193	-56.0278
United Kingdom - British Virgin Islands	death	1	18.4207	-64.64
United Kingdom - Cayman Islands	death	1	19.3133	-81.2546
United Kingdom - Montserrat	death	1	16.7425	-62.1874
United Kingdom - Turks and Caicos Islands	death	1	21.694	-71.7979
Bhutan	death	0	27.5142	90.4336
Cambodia	death	0	11.55	104.9167
Central African Republic	death	0	6.6111	20.9394
Comoros	death	0	-11.6455	43.3333
Denmark - Faroe Islands	death	0	61.8926	-6.9118
Denmark - Greenland	death	0	71.7069	-42.6043
Dominica	death	0	15.415	-61.371
Eritrea	death	0	15.1794	39.7823
Fiji	death	0	-17.7134	178.065
France - French Polynesia	death	0	-17.6797	149.4068
France - New Caledonia	death	0	-20.9043	165.618
France - Reunion	death	0	-21.1351	55.2471
France - Saint Barthelemy	death	0	17.9	-62.8333
France - Saint Pierre and Miquelon	death	0	46.8852	-56.3159
Grenada	death	0	12.1165	-61.679
Holy See	death	0	41.9029	12.4534
Laos	death	0	19.85627	102.495496
Madagascar	death	0	-18.7669	46.8691
Mongolia	death	0	46.8625	103.8467
Mozambique	death	0	-18.665695	35.529562
Namibia	death	0	-22.9576	18.4904
Nepal	death	0	28.1667	84.25
Netherlands - Bonaire, Sint Eustatius and Saba	death	0	12.1784	-68.2385
Papua New Guinea	death	0	-6.315	143.9555
Rwanda	death	0	-1.9403	29.8739
Saint Kitts and Nevis	death	0	17.357822	-62.782998
Saint Lucia	death	0	13.9094	-60.9789
Saint Vincent and the Grenadines	death	0	12.9843	-61.2872
Seychelles	death	0	-4.6796	55.492
South Sudan	death	0	6.877	31.307
Timor-Leste	death	0	-8.874217	125.727539
Uganda	death	0	1	32
United Kingdom - Anguilla	death	0	18.2206	-63.0686
United Kingdom - Falkland Islands (Malvinas)	death	0	-51.7963	-59.5236
United Kingdom - Gibraltar	death	0	36.1408	-5.3536
Vietnam	death	0	16	108
Western Sahara	death	0	24.2155	-12.8858
