Country	date	total	cum	increment	double1	double2	double3	double7
Chinese Taipei	2020-03-31	16	322	18	13107200	25600	3200	297.198857827389
Thailand	2020-03-20	50	322	13	409600	4525.48339959391	1007.9368399159	181.144732852781
Italy	2020-02-25	93	322	3	400	141.42135623731	100	67.2950096316178
France - Reunion	2020-04-03	13	321	12	204800	3200	800	164.067071201527
Finland	2020-03-17	44	321	6	3200	400	200	90.5723664263906
United Kingdom	2020-03-09	48	321	6	3200	400	200	90.5723664263906
Brazil	2020-03-17	121	321	5	1600	282.842712474619	158.74010519682	82.0335356007638
Netherlands	2020-03-09	56	321	4	800	200	125.992104989487	74.2997144568474
Cyprus	2020-04-01	58	320	13	409600	4525.48339959391	1007.9368399159	181.144732852781
Cuba	2020-04-05	32	320	11	102400	2262.74169979695	634.96042078728	148.599428913695
Qatar	2020-03-13	58	320	2	200	100	79.37005259841	60.9506827102238
Burkina Faso	2020-04-04	16	318	14	819200	6400.00000000001	1269.92084157456	200
Lebanon	2020-03-24	51	318	13	409600	4525.48339959391	1007.9368399159	181.144732852781
Peru	2020-03-21	84	318	5	1600	282.842712474619	158.74010519682	82.0335356007638
Kuwait	2020-04-01	28	317	30	53687091200	1638400	51200	975.210923363578
Iraq	2020-03-24	50	316	17	6553600	18101.9335983756	2539.84168314912	269.180038526471
Mexico	2020-03-23	65	316	7	6400	565.685424949238	251.984209978975	99.9999999999999
Croatia	2020-03-23	61	315	7	6400	565.685424949238	251.984209978975	99.9999999999999
Slovak Republic	2020-03-29	22	314	14	819200	6400.00000000001	1269.92084157456	200
Costa Rica	2020-03-29	19	314	11	102400	2262.74169979695	634.96042078728	148.599428913695
Belgium	2020-03-12	0	314	7	6400	565.685424949238	251.984209978975	99.9999999999999
Belgium	2020-03-11	47	314	6	3200	400	200	90.5723664263906
Singapore	2020-03-18	47	313	35	1717986918400	9268190.00236834	162549.867721544	1600
Panama	2020-03-22	113	313	6	3200	400	200	90.5723664263906
Tunisia	2020-03-30	0	312	10	51200	1600	503.968419957949	134.590019263236
Tunisia	2020-03-29	34	312	9	25600	1131.37084989848	400	121.901365420447
Dominican Republic	2020-03-24	67	312	4	800	200	125.992104989487	74.2997144568474
Indonesia	2020-03-19	84	311	6	3200	400	200	90.5723664263906
Jordan	2020-04-03	11	310	16	3276800	12800	2015.8736798318	243.802730840895
Uruguay	2020-03-30	6	310	12	204800	3200	800	164.067071201527
Ukraine	2020-03-27	114	310	5	1600	282.842712474619	158.74010519682	82.0335356007638
United Kingdom - Channel Islands	2020-04-05	47	309	10	51200	1600	503.968419957949	134.590019263236
France - Reunion	2020-04-02	27	308	11	102400	2262.74169979695	634.96042078728	148.599428913695
Andorra	2020-03-28	41	308	9	25600	1131.37084989848	400	121.901365420447
Romania	2020-03-20	31	308	7	6400	565.685424949238	251.984209978975	99.9999999999999
Philippines	2020-03-21	77	307	9	25600	1131.37084989848	400	121.901365420447
Chinese Taipei	2020-03-30	8	306	17	6553600	18101.9335983756	2539.84168314912	269.180038526471
Cameroon	2020-04-02	73	306	10	51200	1600	503.968419957949	134.590019263236
Estonia	2020-03-21	23	306	8	12800	800	317.48021039364	110.408951367381
Russia	2020-03-21	53	306	7	6400	565.685424949238	251.984209978975	99.9999999999999
Bahrain	2020-03-21	20	305	17	6553600	18101.9335983756	2539.84168314912	269.180038526471
Honduras	2020-04-07	7	305	12	204800	3200	800	164.067071201527
Latvia	2020-03-28	25	305	10	51200	1600	503.968419957949	134.590019263236
Albania	2020-04-03	27	304	18	13107200	25600	3200	297.198857827389
Belarus	2020-04-02	141	304	15	1638400	9050.96679918782	1600	220.817902734762
Uruguay	2020-03-29	30	304	11	102400	2262.74169979695	634.96042078728	148.599428913695
Israel	2020-03-18	54	304	10	51200	1600	503.968419957949	134.590019263236
Serbia	2020-03-24	54	303	8	12800	800	317.48021039364	110.408951367381
Burkina Faso	2020-04-03	14	302	13	409600	4525.48339959391	1007.9368399159	181.144732852781
Algeria	2020-03-25	38	302	9	25600	1131.37084989848	400	121.901365420447
Kazakhstan	2020-03-30	18	302	9	25600	1131.37084989848	400	121.901365420447
Austria	2020-03-12	56	302	6	3200	400	200	90.5723664263906
Argentina	2020-03-23	35	301	7	6400	565.685424949238	251.984209978975	99.9999999999999
Hungary	2020-03-27	39	300	10	51200	1600	503.968419957949	134.590019263236
Jordan	2020-04-02	21	299	15	1638400	9050.96679918782	1600	220.817902734762
Afghanistan	2020-04-04	18	299	11	102400	2262.74169979695	634.96042078728	148.599428913695
Lithuania	2020-03-26	25	299	5	1600	282.842712474619	158.74010519682	82.0335356007638
Pakistan	2020-03-18	63	299	3	400	141.42135623731	100	67.2950096316178
Chinese Taipei	2020-03-29	15	298	16	3276800	12800	2015.8736798318	243.802730840895
Oman	2020-04-05	21	298	15	1638400	9050.96679918782	1600	220.817902734762
Honduras	2020-04-06	30	298	11	102400	2262.74169979695	634.96042078728	148.599428913695
Azerbaijan	2020-03-31	25	298	10	51200	1600	503.968419957949	134.590019263236
Moldova	2020-03-30	35	298	10	51200	1600	503.968419957949	134.590019263236
Czech Republic	2020-03-16	45	298	5	1600	282.842712474619	158.74010519682	82.0335356007638
Australia	2020-03-15	47	297	11	102400	2262.74169979695	634.96042078728	148.599428913695
Costa Rica	2020-03-28	32	295	10	51200	1600	503.968419957949	134.590019263236
Egypt	2020-03-21	9	294	12	204800	3200	800	164.067071201527
Malta	2020-04-07	52	293	19	26214400	36203.8671967513	4031.7473596636	328.134142403055
Japan	2020-03-03	19	293	16	3276800	12800	2015.8736798318	243.802730840895
Bulgaria	2020-03-27	29	293	12	204800	3200	800	164.067071201527
Slovak Republic	2020-03-28	23	292	13	409600	4525.48339959391	1007.9368399159	181.144732852781
Ireland	2020-03-18	69	292	5	1600	282.842712474619	158.74010519682	82.0335356007638
Armenia	2020-03-26	25	290	10	51200	1600	503.968419957949	134.590019263236
Kuwait	2020-03-31	23	289	29	26843545600	1158523.75029604	40637.4669303859	883.271610939048
Burkina Faso	2020-04-02	6	288	12	204800	3200	800	164.067071201527
Cuba	2020-04-04	19	288	10	51200	1600	503.968419957949	134.590019263236
Ghana	2020-04-07	73	287	14	819200	6400.00000000001	1269.92084157456	200
Slovenia	2020-03-19	11	286	8	12800	800	317.48021039364	110.408951367381
Bahrain	2020-03-20	7	285	16	3276800	12800	2015.8736798318	243.802730840895
Egypt	2020-03-20	29	285	11	102400	2262.74169979695	634.96042078728	148.599428913695
North Macedonia	2020-03-30	26	285	10	51200	1600	503.968419957949	134.590019263236
Diamond Princess	2020-02-15	67	285	8	12800	800	317.48021039364	110.408951367381
France	2020-03-04	81	285	5	1600	282.842712474619	158.74010519682	82.0335356007638
Kazakhstan	2020-03-29	56	284	8	12800	800	317.48021039364	110.408951367381
Chinese Taipei	2020-03-28	16	283	15	1638400	9050.96679918782	1600	220.817902734762
Estonia	2020-03-20	16	283	7	6400	565.685424949238	251.984209978975	99.9999999999999
New Zealand	2020-03-26	78	283	5	1600	282.842712474619	158.74010519682	82.0335356007638
Burkina Faso	2020-04-01	21	282	11	102400	2262.74169979695	634.96042078728	148.599428913695
Afghanistan	2020-04-03	8	281	10	51200	1600	503.968419957949	134.590019263236
France - Reunion	2020-04-01	34	281	10	51200	1600	503.968419957949	134.590019263236
Latvia	2020-03-27	36	280	9	25600	1131.37084989848	400	121.901365420447
San Marino	2020-04-07	13	279	28	13421772800	819200.000000002	32253.9788773088	799.999999999998
Bahrain	2020-03-19	22	278	15	1638400	9050.96679918782	1600	220.817902734762
Jordan	2020-04-01	4	278	14	819200	6400.00000000001	1269.92084157456	200
Tunisia	2020-03-28	51	278	8	12800	800	317.48021039364	110.408951367381
Niger	2020-04-07	25	278	6	3200	400	200	90.5723664263906
Albania	2020-04-02	18	277	17	6553600	18101.9335983756	2539.84168314912	269.180038526471
Oman	2020-04-04	25	277	14	819200	6400.00000000001	1269.92084157456	200
Colombia	2020-03-23	46	277	7	6400	565.685424949238	251.984209978975	99.9999999999999
Romania	2020-03-19	17	277	6	3200	400	200	90.5723664263906
Finland	2020-03-16	33	277	5	1600	282.842712474619	158.74010519682	82.0335356007638
Morocco	2020-03-26	50	275	7	6400	565.685424949238	251.984209978975	99.9999999999999
Slovenia	2020-03-18	0	275	7	6400	565.685424949238	251.984209978975	99.9999999999999
Slovenia	2020-03-17	22	275	6	3200	400	200	90.5723664263906
