Country	type	value	lat	long
Mali	confirmed	36	17.570692	-3.996166
United Kingdom - Bermuda	confirmed	35	32.3078	-64.7505
Ethiopia	confirmed	29	9.145	40.4897
United Kingdom - Cayman Islands	confirmed	28	19.3133	-81.2546
Bahamas	confirmed	24	25.0343	-77.3963
Congo (Brazzaville)	confirmed	22	-4.0383	21.7587
Eritrea	confirmed	22	15.1794	39.7823
France - St Martin	confirmed	22	18.0708	-63.0501
Gabon	confirmed	21	-0.8037	11.6094
Burma	confirmed	20	21.9162	95.956
Tanzania	confirmed	20	-6.369	34.8888
Guyana	confirmed	19	5	-58.75
Maldives	confirmed	19	3.2028	73.2207
France - New Caledonia	confirmed	18	-20.9043	165.618
Netherlands - Sint Maarten	confirmed	18	18.0425	-63.0548
Haiti	confirmed	16	18.9712	-72.2852
Syria	confirmed	16	34.802075	38.996815
Equatorial Guinea	confirmed	15	1.5	10
Mongolia	confirmed	14	46.8625	103.8467
Namibia	confirmed	14	-22.9576	18.4904
Benin	confirmed	13	9.3077	2.3158
Saint Lucia	confirmed	13	13.9094	-60.9789
Dominica	confirmed	12	15.415	-61.371
Libya	confirmed	11	26.3351	17.228331
Netherlands - Curacao	confirmed	11	12.1696	-68.99
Denmark - Greenland	confirmed	10	71.7069	-42.6043
Grenada	confirmed	10	12.1165	-61.679
Laos	confirmed	10	19.85627	102.495496
Mozambique	confirmed	10	-18.665695	35.529562
Seychelles	confirmed	10	-4.6796	55.492
Suriname	confirmed	10	3.9193	-56.0278
Antigua and Barbuda	confirmed	9	17.0608	-61.7964
Eswatini	confirmed	9	-26.5225	31.4659
Guinea-Bissau	confirmed	9	11.8037	-15.1804
MS Zaandam	confirmed	9	0	0
Saint Kitts and Nevis	confirmed	9	17.357822	-62.782998
Zimbabwe	confirmed	9	-20	30
Angola	confirmed	8	-11.2027	17.8739
Chad	confirmed	8	15.4542	18.7322
Sudan	confirmed	8	12.8628	30.2176
Fiji	confirmed	7	-17.7134	178.065
Holy See	confirmed	7	41.9029	12.4534
Cabo Verde	confirmed	6	16.5388	-23.0418
France - Saint Barthelemy	confirmed	6	17.9	-62.8333
Liberia	confirmed	6	6.4281	-9.4295
Mauritania	confirmed	6	21.0079	10.9408
Nepal	confirmed	6	28.1667	84.25
Bhutan	confirmed	5	27.5142	90.4336
Nicaragua	confirmed	5	12.8654	-85.2072
Somalia	confirmed	5	5.1521	46.1996
United Kingdom - Montserrat	confirmed	5	16.7425	-62.1874
United Kingdom - Turks and Caicos Islands	confirmed	5	21.694	-71.7979
Botswana	confirmed	4	-22.3285	24.6849
Gambia	confirmed	4	13.4432	-15.3101
Belize	confirmed	3	13.1939	-59.5432
Burundi	confirmed	3	-3.3731	29.9189
Central African Republic	confirmed	3	6.6111	20.9394
Malawi	confirmed	3	-13.254308	34.301525
United Kingdom - Anguilla	confirmed	3	18.2206	-63.0686
United Kingdom - British Virgin Islands	confirmed	3	18.4207	-64.64
Netherlands - Bonaire, Sint Eustatius and Saba	confirmed	2	12.1784	-68.2385
Saint Vincent and the Grenadines	confirmed	2	12.9843	-61.2872
Sierra Leone	confirmed	2	8.460555	-11.779889
Papua New Guinea	confirmed	1	-6.315	143.9555
Timor-Leste	confirmed	1	-8.874217	125.727539
